Application Number,Total Amount,Total Number,Application Received Date,Application Approved Date,Vehicle Category,Vehicle Model,Vehicle Make,Vehicle Year,Date of Purchase,Purchase or Lease?,Zip Code,County
M-000011,"$2,500",2500,6/19/14 13:57,7/3/14 19:56,BEV,Nissan Leaf SV,Nissan,2013,2014-06-18,Lease,1581,Worcester
M-000013,"$1,500",1500,6/20/14 16:34,7/3/14 20:00,PHEV,Ford Fusion Energi,Ford,2014,2014-06-19,Lease,1826,Middlesex
M-000014,"$2,500",2500,6/20/14 19:26,7/7/14 11:44,PHEV+,Chevrolet Volt,Chevrolet,2014,2014-06-20,Lease,1915,Essex
M-000015,"$1,500",1500,6/20/14 20:58,7/3/14 20:02,PHEV,Ford C-MAX Energi,Ford,2014,2014-06-18,Purchase,1985,Essex
M-000016,"$2,500",2500,6/21/14 20:48,7/8/14 20:10,BEV,Nissan Leaf S,Nissan,2013,2014-06-21,Purchase,1757,Worcester
M-000017,"$2,500",2500,6/23/14 8:44,7/8/14 19:59,BEV,Nissan Leaf SV,Nissan,2013,2014-06-23,Lease,1373,Franklin
M-000079,"$2,500",2500,6/23/14 12:07,7/17/14 18:25,BEV,Smart Electric Fortwo Coupe,Smart,2015,2014-06-23,Purchase,1902,Essex
M-000080,"$2,500",2500,6/24/14 1:15,7/8/14 15:57,PHEV+,Chevrolet Volt,Chevrolet,2014,2014-06-19,Purchase,1864,Middlesex
M-000081,"$2,500",2500,6/24/14 8:09,7/10/14 16:44,BEV,Smart Electric Fortwo Coupe,Smart,2014,2014-06-24,Lease,1450,Middlesex
M-000082,"$2,500",2500,6/24/14 9:01,7/8/14 15:13,BEV,Smart Electric Fortwo Cabriolet,Smart,2014,2014-06-23,Lease,2215,Suffolk
M-000083,"$1,500",1500,6/24/14 10:03,7/8/14 15:19,PHEV,Ford Fusion Energi,Ford,2014,2014-06-20,Purchase,1570,Worcester
M-000084,"$2,500",2500,6/24/14 11:22,7/8/14 20:03,BEV,BMW i3 REx,BMW,2014,2014-06-24,Purchase,1915,Essex
M-000085,"$2,500",2500,6/24/14 20:02,7/10/14 16:35,BEV,Tesla Model S - 85 kWh,Tesla,2014,2014-06-23,Purchase,2038,Norfolk
M-000086,"$2,500",2500,6/24/14 22:27,7/8/14 15:59,BEV,Nissan Leaf S,Nissan,2014,2014-06-24,Lease,1845,Essex
M-000087,"$2,500",2500,6/25/14 8:49,7/10/14 16:32,BEV,Tesla Model S - 85 kWh,Tesla,2014,2014-06-25,Purchase,2066,Plymouth
M-000088,"$1,500",1500,6/25/14 14:44,7/11/14 18:26,PHEV,Ford C-MAX Energi,Ford,2014,2014-06-25,Purchase,1062,Hampshire
M-000089,"$2,500",2500,6/25/14 16:45,7/8/14 17:20,BEV,Nissan Leaf SL,Nissan,2013,2014-06-21,Purchase,1851,Middlesex
