Location,2014,2015,2016,2017,2018
Adams,"3,526"," 6,454 ","8,180"," 10,323 "," 8,598 "
Brighton,"5,080"," 4,331 ","4,016"," 3,981 "," 3,388 "
Charlestown,"6,448"," 6,048 ","6,706"," 6,970 "," 6,371 "
Chinatown,0,0 ,0,0 ," 2,451 "
Codman,"5,053"," 5,695 ","6,810"," 5,701 "," 5,653 "
Copley,"35,840"," 66,741 ","78,701"," 89,051 "," 87,183 "
Connolly,"7,126"," 6,432 ","6,595"," 6,666 "," 7,849 "
Dudley,"9,909"," 8,629 ","3,998"," 2,709 ", 34 
East Boston,"8,390"," 7,186 ","8,262"," 10,267 "," 11,272 "
Egleston ,"2,826"," 3,384 ","3,796"," 3,036 "," 3,416 "
Faneuil,"5,161"," 4,917 ","5,271"," 5,000 "," 5,276 "
Fields Corner,"4,033"," 4,676 ","4,675"," 4,573 "," 4,174 "
Grove Hall,"8,994"," 7,106 ","10,517"," 9,735 "," 12,394 "
Honan-Allston,"4,699"," 4,149 ","6,848"," 6,284 "," 5,434 "
Hyde Park,"15,056"," 13,840 ","14,247"," 11,682 "," 11,621 "
Jamaica Plain,"9,298"," 5,613 ",0," 11,160 "," 15,729 "
Lower Mills,"6,882"," 4,788 ","5,224"," 4,587 "," 2,835 "
Mattapan,"4,504"," 4,693 ","4,646"," 3,675 "," 5,230 "
North End,"5,861"," 5,194 ","4,681"," 3,799 "," 4,559 "
Parker Hill,"3,631"," 3,479 ","4,610"," 2,203 "," 1,532 "
Roslindale,"9,407"," 7,756 ","8,246"," 7,135 "," 7,494 "
South Boston,"6,393"," 4,843 ","9,498"," 6,790 "," 8,395 "
South End,"8,348"," 7,121 ","7,176"," 7,744 "," 5,572 "
Uphams Corner,"2,090"," 1,338 ","1,610"," 1,651 "," 1,512 "
West End,"10,488"," 9,425 ","10,934"," 11,642 "," 13,847 "
West Roxbury,"2,054"," 3,805 ","3,985"," 3,245 "," 4,127 "
