Location,2014,2015,2016,2017,2018
Adams,214, 559 ,498, 457 , 485 
Brighton,250, 211 ,194, 248 , 249 
Charlestown,385, 346 ,397, 383 , 401 
Chinatown,0,0 ,0,0 , 171 
Codman,238, 325 ,378, 329 , 372 
Copley,"1,107"," 2,103 ","2,316"," 3,012 "," 2,527 "
Connolly,370, 357 ,323, 334 , 369 
Dudley,"1,150"," 1,122 ",655, 396 , 10 
East Boston,540, 572 ,483, 461 , 454 
Egleston ,198, 210 ,271, 258 , 279 
Faneuil,288, 259 ,278, 279 , 341 
Fields Corner,296, 344 ,344, 401 , 305 
Grove Hall,613, 448 ,685, 600 , 844 
Honan-Allston,544, 444 ,606, 614 , 554 
Hyde Park,877, 964 ,879, 832 , 790 
Jamaica Plain,378, 197 ,0, 282 , 526 
Lower Mills,457, 379 ,410, 407 , 288 
Mattapan,430, 505 ,586, 637 , 843 
North End,343, 317 ,251, 244 , 313 
Parker Hill,210, 203 ,283, 184 , 165 
Roslindale,286, 308 ,353, 330 , 346 
South Boston,294, 253 ,471, 321 , 380 
South End,487, 451 ,392, 393 , 377 
Uphams Corner,225, 206 ,227, 197 , 143 
West End,489, 410 ,481, 628 , 606 
West Roxbury,178, 269 ,319, 288 , 260 
